X_mean,X_std,X_min,X_max,X_range,X_energy,Y_mean,Y_std,Y_min,Y_max,Y_range,Y_energy,Z_mean,Z_std,Z_min,Z_max,Z_range,Z_energy,A_mean,A_std,A_min,A_max,A_range,A_energy,DX_mean,DX_std,DX_min,DX_max,DX_range,DX_energy,DY_mean,DY_std,DY_min,DY_max,DY_range,DY_energy,DZ_mean,DZ_std,DZ_min,DZ_max,DZ_range,DZ_energy,DA_mean,DA_std,DA_min,DA_max,DA_range,DA_energy,FALL,FALL_RF,FALL_XGB
10.681000000000001,0.017916648383785146,10.67,10.71,0.040000000000000924,18253.4528,-0.6475000000000002,0.030653264777335428,-0.69,-0.61,0.07999999999999996,67.2304,0.34281249999999996,0.056123985332117564,0.23,0.46,0.23,19.3041,10.706288282689302,0.01771423617602258,10.691917508099284,10.73792344915906,0.046005941059776845,18339.9873,0.0,0.008972354465472916,-0.040000000000000924,0.040000000000000924,0.08000000000000185,0.012800000000000592,0.0002499999999999995,0.014534712299705816,-0.07999999999999996,0.07999999999999996,0.15999999999999992,0.03359999999999998,-0.0002499999999999999,0.028416267818444377,-0.12,0.12,0.24,0.1284,-2.4071918659607228e-05,0.009172136822898498,-0.04273761627144346,0.046005941059776845,0.0887435573312203,0.013376459642940184,0,0,0
10.68725,0.022708156626166418,10.67,10.75,0.08000000000000007,18274.852,-0.6495000000000001,0.03474615946380658,-0.73,-0.61,0.12,67.688,0.3409375,0.044591745224181994,0.23,0.42,0.18999999999999997,18.9143,10.712540937809006,0.023654340299571787,10.691917508099284,10.778821828010704,0.08690431991142056,18361.454300000005,0.0002499999999999947,0.010518028846585953,-0.040000000000000924,0.040000000000000924,0.08000000000000185,0.01760000000000067,-0.0002499999999999995,0.014534712299705823,-0.07999999999999996,0.040000000000000036,0.12,0.033599999999999984,0.0002499999999999999,0.021890235036132084,-0.11000000000000001,0.10999999999999999,0.22,0.07619999999999999,0.00027331149739510117,0.011008593014392347,-0.043882101816393515,0.046005941059776845,0.08988804287617036,0.019281021972825267,0,0,0
10.693750000000001,0.02386413324103617,10.67,10.75,0.08000000000000007,18297.0968,-0.6585000000000001,0.03895167139420997,-0.73,-0.61,0.12,69.6208,0.34343749999999995,0.028285313543677564,0.31,0.38,0.07,18.999100000000002,10.719613177436123,0.025032329040390135,10.691917508099284,10.778821828010704,0.08690431991142056,18385.716700000004,0.00025000000000000575,0.011434802883352907,-0.040000000000000924,0.040000000000000924,0.08000000000000185,0.020800000000000676,-0.0002499999999999995,0.019294148101001912,-0.12,0.07999999999999996,0.19999999999999996,0.059199999999999975,-0.00018750000000000017,0.013102012664054986,-0.07,0.07,0.14,0.027300000000000005,0.00025933929468431317,0.012158036478526417,-0.04463811428565734,0.04740742412993093,0.09204553841558827,0.023513799410258208,0,0,0
10.6883125,0.02616401761217258,10.64,10.75,0.10999999999999943,18278.5127,-0.6635000000000001,0.032625182232797825,-0.73,-0.61,0.12,70.60640000000001,0.3413125,0.02740614343743404,0.31,0.38,0.07,18.758500000000005,10.714406857619458,0.026929946803468184,10.665256677642597,10.778821828010704,0.11356515036810677,18367.877600000007,-0.0005000000000000004,0.0121209834169392,-0.040000000000000924,0.07000000000000028,0.11000000000000121,0.02340000000000067,0.0002499999999999995,0.01708101303463318,-0.12,0.07999999999999996,0.19999999999999996,0.046399999999999955,-0.00043750000000000006,0.013047897972832005,-0.07,0.07,0.14,0.027100000000000003,-0.0005284228693255399,0.012585179448370096,-0.04504129322214112,0.06983531078489058,0.1148766040070317,0.025228168854492836,0,0,0
10.685375000000002,0.02691443464858302,10.64,10.71,0.07000000000000028,18268.473400000003,-0.659,0.02835533736764038,-0.73,-0.61,0.12,69.61280000000001,0.33718750000000003,0.03366822728184371,0.27,0.38,0.10999999999999999,18.371500000000005,10.711073481578797,0.027754489139568902,10.6608911447402,10.741573441540119,0.08068229679991923,18356.457700000006,0.0,0.013175162452902886,-0.040000000000000924,0.07000000000000028,0.11000000000000121,0.027600000000000742,0.0002499999999999995,0.013076937306119321,-0.040000000000000036,0.07999999999999996,0.12,0.02719999999999995,0.00018750000000000017,0.015356226074308865,-0.07,0.10999999999999999,0.18,0.0375,-9.925822560119535e-06,0.01348012036326532,-0.04609981012119313,0.0742008436872883,0.12030065380848143,0.028892485319803655,0,0,0
10.692062500000002,0.022739898579839792,10.64,10.71,0.07000000000000028,18291.3143,-0.65625,0.02748927749793527,-0.69,-0.61,0.07999999999999996,69.0264,0.34950000000000003,0.042645238329750874,0.27,0.42,0.14999999999999997,19.8332,10.717999617715208,0.023972093978776258,10.6608911447402,10.73892918311691,0.07803803837671097,18380.173900000005,0.0,0.011271380800826352,-0.040000000000000924,0.07000000000000028,0.11000000000000121,0.020200000000000665,0.0,0.013458531698209049,-0.07999999999999996,0.07999999999999996,0.15999999999999992,0.028799999999999944,0.00018750000000000017,0.01976184860728771,-0.07999999999999996,0.10999999999999999,0.18999999999999995,0.06209999999999997,5.697899806245133e-06,0.011745188268055413,-0.04609981012119313,0.0742008436872883,0.12030065380848143,0.021933967339448607,0,0,0
10.6915625,0.03297696689982218,10.6,10.75,0.15000000000000036,18289.694299999996,-0.6505000000000001,0.023305464039320288,-0.69,-0.61,0.07999999999999996,67.7904,0.36106249999999995,0.03322492197510132,0.31,0.42,0.10999999999999999,21.034100000000002,10.717491285347377,0.03361713404157428,10.624335273324162,10.77409392942163,0.1497586560974682,18378.518800000005,0.0,0.01773317255329788,-0.11000000000000121,0.11000000000000121,0.22000000000000242,0.05000000000000092,-0.0002499999999999995,0.01143480288335271,-0.07999999999999996,0.040000000000000036,0.12,0.020799999999999985,0.0004999999999999998,0.017547778443492118,-0.07999999999999996,0.07999999999999996,0.15999999999999992,0.04899999999999996,3.329373633267352e-05,0.018015187502701178,-0.11075671510332619,0.11075671510332619,0.22151343020665237,0.051603147296100216,0,0,0
10.692125,0.03393273961250515,10.6,10.75,0.15000000000000036,18291.629,-0.6370625000000001,0.036213845557505925,-0.69,-0.54,0.1499999999999999,65.1443,0.3520625,0.02729058341985791,0.31,0.42,0.10999999999999999,19.9501,10.71696418624309,0.034748053226667026,10.624335273324162,10.77409392942163,0.1497586560974682,18376.723400000003,-0.000187499999999996,0.01884968261247925,-0.11000000000000121,0.11000000000000121,0.22000000000000242,0.056500000000001036,0.0,0.01783925429244989,-0.12,0.08000000000000007,0.20000000000000007,0.05059999999999999,0.0,0.014450087593040424,-0.10999999999999999,0.07,0.18,0.033199999999999986,-0.0001870572202813725,0.01939360498162478,-0.11075671510332619,0.11075671510332619,0.22151343020665237,0.05980739281973064,0,0,0
10.686625000000001,0.029243878034825227,10.64,10.75,0.10999999999999943,18272.7686,-0.6373125,0.04349108019587199,-0.69,-0.54,0.1499999999999999,65.2875,0.35875,0.02843396852424463,0.31,0.42,0.10999999999999999,20.720800000000004,10.711743121144412,0.030342806433734867,10.660680090876005,10.778821828010704,0.11814173713469955,18358.776900000004,0.0002499999999999947,0.010397750119481197,-0.07000000000000028,0.040000000000000924,0.11000000000000121,0.017200000000000226,0.0,0.02142707392191817,-0.12,0.08000000000000007,0.20000000000000007,0.07299999999999997,-0.0002499999999999999,0.015898657037545144,-0.10999999999999999,0.07999999999999996,0.18999999999999995,0.04019999999999997,0.00024001776106242768,0.011109732590464915,-0.07233150593009974,0.04696612496450747,0.11929763089460721,0.019633976522930502,0,0,0
10.681625,0.030154476497365933,10.64,10.75,0.10999999999999943,18255.6826,-0.65175,0.031193250358443444,-0.69,-0.57,0.12,68.11919999999999,0.35475,0.02769896576413123,0.31,0.42,0.10999999999999999,20.257600000000007,10.707447681433901,0.030680325464003195,10.660680090876005,10.778821828010704,0.11814173713469955,18344.0594,0.0004375000000000018,0.012999606912296046,-0.08000000000000007,0.07000000000000028,0.15000000000000036,0.0269000000000002,0.0,0.014878966624021371,-0.07999999999999996,0.08000000000000007,0.16000000000000003,0.03519999999999997,-0.00018750000000000017,0.014600416768411839,-0.07999999999999996,0.07999999999999996,0.15999999999999992,0.03389999999999997,0.00043079397551530895,0.013054102837197955,-0.08363599512308717,0.06757694305987805,0.15121293818296522,0.027124819892472618,0,0,0
