X,Y,Z,FALL,A,DX,DY,DZ,DA
10.1,2.45,2.91,0,10.792617847399212,0.0,0.0,0.0,0.0
10.1,2.45,2.91,0,10.792617847399212,0.0,0.0,0.0,0.0
10.1,2.45,2.91,0,10.792617847399212,0.0,0.0,0.0,0.0
10.1,2.45,2.91,0,10.792617847399212,0.0,0.0,0.0,0.0
10.1,2.45,2.91,0,10.792617847399212,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,-0.040000000000000036,0.040000000000000036,0.0018529594537106675
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.029999999999999805,0.00823718697899345
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.41,2.98,0,10.802707993831916,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.040000000000000036,0.0,0.008993999841418798
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.1,2.45,2.98,0,10.811701993673335,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.08000000000000007,0.0,-0.029999999999999805,0.06659750578888435
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.18,2.45,2.95,0,10.87829949946222,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,-0.03999999999999915,-0.040000000000000036,0.029999999999999805,-0.038184186422418165
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,-0.040000000000000924,-0.040000000000000036,-0.029999999999999805,-0.05450452829515662
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.1,2.37,2.95,0,10.785610784744645,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.040000000000000924,0.0,0.0,0.03746641169075815
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.14,2.37,2.95,0,10.823077196435403,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,-0.040000000000000924,0.040000000000000036,0.0,-0.028606389582479963
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.1,2.41,2.95,0,10.794470806852923,0.0,0.0,0.0,0.0
10.14,2.37,2.98,0,10.831292628306189,0.040000000000000924,-0.040000000000000036,0.029999999999999805,0.03682182145326607
10.14,2.37,2.98,0,10.831292628306189,0.0,0.0,0.0,0.0
10.14,2.37,2.98,0,10.831292628306189,0.0,0.0,0.0,0.0
10.14,2.37,2.98,0,10.831292628306189,0.0,0.0,0.0,0.0
