X,Y,Z,FALL_HW,FALL_ML
10.22,-0.27,1.99,0,
10.22,-0.27,1.99,0,
10.22,-0.27,1.99,0,
10.22,-0.27,1.99,0,
10.22,-0.27,1.99,0,
10.22,-0.27,1.99,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.33,-0.46,2.3,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.31,2.53,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.37,-0.15,2.03,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.22,-0.08,2.07,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,-0.19,2.07,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.33,0.08,1.68,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.25,-0.08,2.1,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.41,-0.27,2.3,0,
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,0
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,
10.48,0.23,1.76,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.1,-0.54,2.53,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.22,-0.38,2.18,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.18,-0.31,2.1,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.14,-0.23,2.3,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.02,-0.08,1.84,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.14,-0.31,2.14,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.29,-0.19,2.26,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.34,2.07,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.25,-0.08,2.18,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.06,-0.34,2.14,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.25,-0.38,2.3,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.44,-0.23,2.22,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.18,-0.08,2.18,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.06,-0.38,2.03,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.41,0.08,1.95,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,-0.08,1.87,0,
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,0
10.06,0.08,1.68,0,
10.06,0.08,1.68,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.34,2.41,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.06,-0.04,1.99,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.18,-0.27,2.33,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.22,-0.04,2.26,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.44,-0.38,1.99,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.06,-0.31,2.37,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
10.1,-0.42,2.22,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
9.99,-0.23,2.37,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.22,-0.27,2.03,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.14,-0.15,2.37,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.37,0.0,2.3,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.33,-0.34,2.26,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
10.22,0.04,1.84,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
9.83,-0.11,2.53,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.19,2.1,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.1,-0.34,2.45,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,
10.22,-0.19,1.99,0,0
10.22,-0.19,1.99,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.52,0.04,1.84,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.14,-0.08,1.99,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.37,-0.38,2.53,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.44,-0.15,1.95,0,
10.6,-0.27,2.14,0,
10.6,-0.27,2.14,0,
